datetime,Adj_Close,Close,High,Low,Open,Volume,Symbol
2007-08-02,4.87464,4.87464,4.89143,4.79107,4.88036,852644800,AAPL
2007-08-01,4.82143,4.82143,4.835,4.56321,4.77286,1750156800,AAPL
2007-07-31,4.70571,4.70571,5.12429,4.69714,5.10607,1762392800,AAPL
2007-07-30,5.05107,5.05107,5.19464,4.98464,5.15464,1106988400,AAPL
2007-07-27,5.1375,5.1375,5.31857,5.135,5.22107,1161098400,AAPL
2007-07-26,5.21429,5.21429,5.30357,4.89143,5.21107,2186629200,AAPL
2007-07-25,4.90214,4.90214,4.94143,4.82143,4.90536,1496182800,AAPL
2007-07-24,4.8175,4.8175,5.03571,4.79107,4.96,1795292800,AAPL
2007-07-23,5.13214,5.13214,5.18643,5.03321,5.11821,1036490000,AAPL
2007-07-20,5.13393,5.13393,5.14929,5.0,5.05893,1167773600,AAPL
2007-07-19,5.0,5.0,5.02893,4.9875,5.01071,732891600,AAPL
2007-07-18,4.93286,4.93286,4.94429,4.85857,4.93536,756856800,AAPL
2007-07-17,4.96107,4.96107,4.98571,4.91071,4.93929,709959600,AAPL
2007-07-16,4.93214,4.93214,4.99929,4.91071,4.9425,936112800,AAPL
2007-07-13,4.91893,4.91893,4.92321,4.80429,4.8225,907606000,AAPL
2007-07-12,4.78821,4.78821,4.79429,4.72821,4.78036,704608800,AAPL
2007-07-11,4.72821,4.72821,4.775,4.68964,4.71679,821772000,AAPL
2007-07-10,4.72679,4.72679,4.80357,4.60036,4.60286,1255007600,AAPL
2007-07-09,4.65464,4.65464,4.74643,4.61357,4.72786,995820000,AAPL
2007-07-06,4.725,4.725,4.76214,4.65714,4.75464,874694800,AAPL
2007-07-05,4.74107,4.74107,4.74893,4.59607,4.6,1453051600,AAPL
2007-07-03,4.54179,4.54179,4.55,4.33929,4.35714,1162481600,AAPL
2007-07-02,4.33071,4.33071,4.36036,4.26071,4.32321,994862400,AAPL
2007-06-29,4.35857,4.35857,4.42857,4.32464,4.35607,1137841600,AAPL
2007-06-28,4.30571,4.30571,4.37464,4.28571,4.37,838143600,AAPL
2007-06-27,4.35321,4.35321,4.35857,4.25929,4.3075,974696800,AAPL
2007-06-26,4.27321,4.27321,4.42857,4.24,4.42786,1345005200,AAPL
2007-06-25,4.36929,4.36929,4.4675,4.32357,4.43536,965403600,AAPL
2007-06-22,4.39286,4.39286,4.44464,4.37071,4.42321,631876000,AAPL
2007-06-21,4.425,4.425,4.43893,4.31143,4.34643,867045200,AAPL
2007-06-20,4.34107,4.34107,4.45214,4.33929,4.42393,897512000,AAPL
2007-06-19,4.41643,4.41643,4.46464,4.38964,4.45321,943026000,AAPL
2007-06-18,4.4675,4.4675,4.47071,4.37643,4.40286,910604800,AAPL
2007-06-15,4.30357,4.30357,4.30964,4.28071,4.30786,811218800,AAPL
2007-06-14,4.24107,4.24107,4.26607,4.15786,4.18571,973266000,AAPL
2007-06-13,4.19643,4.19643,4.32821,4.12143,4.32679,1721353200,AAPL
2007-06-12,4.29929,4.29929,4.34679,4.22536,4.2625,1426566400,AAPL
2007-06-11,4.2925,4.2925,4.50536,4.26929,4.5,1874258400,AAPL
2007-06-08,4.44607,4.44607,4.49393,4.3675,4.49357,1241682400,AAPL
2007-06-07,4.43107,4.43107,4.5575,4.39964,4.46393,1915079600,AAPL
2007-06-06,4.41571,4.41571,4.43036,4.35536,4.36786,1112241200,AAPL
2007-06-05,4.38107,4.38107,4.38179,4.30357,4.33607,920785600,AAPL
2007-06-04,4.33321,4.33321,4.3475,4.21071,4.23679,886673200,AAPL
2007-06-01,4.22857,4.22857,4.32821,4.22464,4.325,885262000,AAPL
2007-05-31,4.32821,4.32821,4.36321,4.26929,4.28821,1297066400,AAPL
2007-05-30,4.24179,4.24179,4.24571,4.05464,4.08214,1478444800,AAPL
2007-05-29,4.08393,4.08393,4.10214,4.02464,4.0875,645694000,AAPL
2007-05-25,4.05786,4.05786,4.06357,3.98214,4.0,632959600,AAPL
2007-05-24,3.95321,3.95321,4.08786,3.94179,4.02893,887362000,AAPL
2007-05-23,4.03179,4.03179,4.10714,4.02107,4.07214,911374800,AAPL
2007-05-22,4.055,4.055,4.0625,4.00036,4.0175,572409600,AAPL
2007-05-21,3.99929,3.99929,4.01607,3.93036,3.93964,639892400,AAPL
2007-05-18,3.92929,3.92929,3.95143,3.92036,3.93679,621345200,AAPL
2007-05-17,3.90857,3.90857,3.92393,3.82679,3.82679,735291200,AAPL
2007-05-16,3.83357,3.83357,3.88679,3.69357,3.87607,1126767600,AAPL
2007-05-15,3.84,3.84,3.93571,3.80286,3.91321,954514400,AAPL
2007-05-14,3.90571,3.90571,3.92857,3.86607,3.915,651946400,AAPL
2007-05-11,3.88357,3.88357,3.8975,3.81357,3.84786,653696400,AAPL
2007-05-10,3.83357,3.83357,3.88714,3.78286,3.80821,1197257600,AAPL
2007-05-09,3.81714,3.81714,3.82,3.74607,3.74679,717757600,AAPL
2007-05-08,3.75214,3.75214,3.75536,3.69357,3.69536,783997200,AAPL
2007-05-07,3.71143,3.71143,3.72679,3.6075,3.61,861557200,AAPL
2007-05-04,3.60036,3.60036,3.62857,3.58929,3.6,381987200,AAPL
2007-05-03,3.58571,3.58571,3.62321,3.57179,3.5975,576077600,AAPL
2007-05-02,3.58536,3.58536,3.59071,3.5525,3.55893,505145200,AAPL
2007-05-01,3.5525,3.5525,3.58393,3.51964,3.55679,532523600,AAPL
2007-04-30,3.56429,3.56429,3.60714,3.55964,3.57464,616509600,AAPL
2007-04-27,3.56857,3.56857,3.56964,3.48893,3.50643,699403600,AAPL
2007-04-26,3.53,3.53,3.66071,3.51071,3.62786,1737778000,AAPL
2007-04-25,3.40536,3.40536,3.40714,3.35,3.36536,1187144000,AAPL
2007-04-24,3.33,3.33,3.4425,3.26071,3.35571,1055252800,AAPL
2007-04-23,3.33964,3.33964,3.35,3.265,3.27107,780290000,AAPL
